Date,Open,High,Low,Close,Adj Close,Volume
16889,113.830002,116.32,113.639999,116.139999,115.901833,29825300
16890,116.730003,116.989998,114.360001,114.699997,114.464783,33235200
16891,114.699997,115.010002,113.769997,114.099998,113.866013,21207500
16892,113.75,116.169998,113.349998,116.059998,115.821991,24760500
16895,114.07,114.550003,111.610001,112.550003,112.319191,48487900
16896,112.110001,113.32,111.900002,112.220001,111.989868,22962400
16897,112.470001,113.809998,112.419998,113.709999,113.476807,20814600
16898,113.790001,114.889999,113.07,113.639999,113.40696,20714500
16899,114.25,114.330002,109.900002,110.629997,110.403122,48497800
16902,110.699997,110.910004,108.769997,108.989998,108.766487,39762300
16903,109.339996,111.160004,108.989998,110.610001,110.383171,26248100
16904,112.230003,112.650002,106.519997,110.510002,110.283379,88227400
16905,110.620003,112.040001,110.260002,110.839996,110.612694,28473300
16906,110.790001,110.970001,109.199997,109.639999,109.415161,20922800
16909,109.739998,110.809998,109.199997,110.449997,110.223495,21167200
16910,111.099998,112.449997,109.160004,112.290001,112.059723,30210500
16911,112.43,113.269997,111.559998,112.419998,112.189453,21027900
16912,112.550003,114.040001,112.309998,113.440002,113.207375,20875200
16913,111.209999,111.75,109.010002,110.559998,110.333275,38458200
16916,109.870003,110.669998,109.07,110.099998,109.874214,21017900
16917,110.489998,110.5,108.150002,108.760002,108.536964,22521500
16918,107.940002,108.940002,106.309998,108.889999,108.666695,52213100
16919,119.580002,120.790001,116.230003,116.730003,116.490623,87110100
16920,116.82,117.839996,115.839996,117.580002,117.338882,37140600
16923,117.830002,118.730003,116.57,118.57,118.326843,28095200
16924,117.519997,118.160004,117.019997,117.43,117.189178,24117500
16925,116.610001,118.300003,116.57,118.059998,117.817894,23448400
16926,118.040001,118.980003,117.25,117.809998,117.568405,22056700
16927,117.160004,119.639999,117.110001,119.489998,119.244957,26395600
16930,119.540001,120.279999,118.900002,119.239998,118.995468,21138100
16931,119.620003,120.5,119.0,120.5,120.252892,23220000
16932,120.410004,121.080002,119.419998,119.519997,119.274895,22038400
16933,119.980003,120.839996,118.900002,120.279999,120.033333,22035500
16934,120.379997,120.639999,119.68,119.809998,119.564301,18124300
16937,119.379997,119.610001,117.349998,118.669998,118.426636,31247800
16938,118.82,119.010002,117.199997,117.349998,117.109352,21328600
16939,116.800003,118.269997,116.730003,117.650002,117.408737,21642300
16940,117.050003,117.489998,115.879997,116.809998,116.570457,20544100
16941,116.959999,117.989998,116.949997,117.349998,117.109352,18944800
16944,117.419998,117.599998,115.940002,115.970001,115.732178,20441000
16945,116.239998,117.730003,116.120003,117.699997,117.458626,20183600
16946,118.129997,118.669998,117.379997,117.889999,117.648247,20019800
16947,118.239998,119.760002,117.919998,119.470001,119.224998,18481300
16948,119.559998,119.849998,119.010002,119.379997,119.135185,13493600
16952,119.459999,120.099998,118.120003,118.809998,118.566353,23547600
16953,118.5,119.080002,117.82,118.779999,118.536415,15029500
16954,118.690002,119.440002,118.220001,118.93,118.686111,13228300
16955,118.980003,118.980003,117.860001,118.470001,118.227051,14135100
16958,118.620003,119.43,118.360001,118.790001,118.546394,12744700
16959,119.239998,119.300003,117.669998,117.760002,117.518517,17103000
16960,117.760002,118.599998,117.269997,118.389999,118.147217,14505600
16961,118.129997,118.68,117.709999,118.559998,118.316864,13859200
16962,117.540001,118.110001,116.260002,116.620003,116.380852,18510800
16965,115.0,115.480003,113.309998,113.949997,113.716316,31718200
16966,114.07,114.949997,113.580002,114.940002,114.704292,17618500
16967,115.300003,115.440002,114.07,114.599998,114.36499,19819400
16968,113.870003,114.5,112.940002,114.389999,114.155418,19236300
16969,114.419998,114.43,112.559998,113.019997,112.788223,24644300
16972,113.769997,114.720001,112.75,113.370003,113.137512,20785400
16973,114.120003,115.209999,113.970001,114.379997,114.145432,19166300
16974,114.650002,114.739998,113.610001,113.910004,113.676407,14846300
16975,114.370003,115.089996,113.540001,115.080002,114.844009,16176900
16976,111.010002,113.68,111.0,112.080002,111.850159,40643100
16979,111.57,111.57,108.230003,108.970001,108.746536,36130400
16980,110.629997,112.75,110.550003,112.699997,112.468887,26813800
16981,113.370003,114.25,113.040001,114.160004,113.925896,20968300
16982,114.669998,115.18,113.669998,114.279999,114.045639,23192700
16983,114.199997,115.129997,113.809998,114.190002,113.955833,14980000
16987,113.940002,114.199997,112.970001,114.199997,113.965805,14207000
16988,113.360001,116.790001,112.970001,116.699997,116.460678,24337600
16989,116.629997,116.970001,115.360001,115.849998,115.612427,16630200
16990,116.43,117.5,115.849998,117.239998,116.999573,18142600
16993,117.709999,118.699997,117.5,117.870003,117.628281,17711600
16994,118.629997,118.720001,117.57,117.93,117.688156,15217700
16995,118.389999,118.400002,116.68,116.779999,116.54052,16207700
16996,117.5,117.639999,116.699997,117.290001,117.049477,14579700
16997,117.739998,118.279999,116.580002,116.860001,116.620354,16646000
17000,117.32,119.610001,116.889999,119.370003,119.125206,20868400
17001,118.989998,120.849998,118.660004,120.610001,120.362663,21541300
17002,121.25,122.199997,120.559998,121.919998,121.669975,20046500
17003,121.919998,122.099998,120.25,120.610001,120.362663,17801700
17004,119.900002,121.010002,119.309998,121.0,120.751862,18422400
17007,121.389999,121.849998,117.779999,121.629997,121.380569,18487400
17008,122.0,122.07,120.75,121.220001,120.971413,17612000
17009,122.419998,125.0,121.510002,123.339996,123.087059,52654200
17010,127.519997,128.330002,123.629997,125.0,124.74366,78955800
17011,124.650002,125.839996,123.709999,123.940002,123.685837,35058800
17014,123.849998,124.580002,122.860001,124.309998,124.055077,25006900
17015,124.059998,124.800003,122.07,123.089996,122.83757,23968400
17016,123.089996,123.919998,122.309998,122.510002,122.258774,18525300
17017,122.940002,124.790001,122.510002,124.360001,124.104973,21066000
17018,124.980003,125.839996,124.620003,125.150002,124.893356,20184000
17021,125.25,125.449997,124.550003,125.260002,125.003128,15233900
17022,125.339996,126.089996,124.529999,125.059998,124.803528,19621000
17023,125.07,125.480003,124.540001,124.879997,124.623901,10670100
17024,125.199997,125.379997,124.75,124.900002,124.643867,11729500
17025,124.699997,125.0,124.18,124.879997,124.623901,12159000
17028,124.910004,124.919998,123.699997,123.900002,123.64592,19295100
17029,123.5,123.919998,122.779999,123.300003,123.04715,14222400
17030,123.660004,124.379997,122.849998,124.370003,124.114952,13794200
17031,124.010002,124.260002,123.639999,123.910004,123.655899,12400800
17032,123.599998,124.160004,123.279999,123.559998,123.30661,11688300
17035,123.330002,124.830002,123.110001,124.150002,123.895409,14386400
17036,124.510002,125.089996,124.25,124.370003,124.114952,13309500
17037,124.470001,124.690002,123.089996,123.480003,123.226784,12243700
17038,123.120003,124.370003,123.099998,123.889999,123.635933,10730800
17039,124.050003,125.190002,123.910004,124.959999,124.703735,17504800
17042,124.349998,126.730003,124.349998,126.540001,126.280502,15925900
17043,126.599998,126.599998,125.150002,125.839996,125.581932,17804300
17044,125.599998,126.220001,125.099998,126.120003,125.861366,14200600
17045,126.379997,126.629997,125.599998,126.169998,125.911255,13536100
17046,126.849998,126.860001,126.0,126.510002,126.250565,12118800
17050,126.669998,129.940002,126.470001,129.729996,129.463959,26278400
17051,130.039993,131.979996,129.949997,131.050003,130.78125,27990800
17052,130.919998,131.080002,129.809998,130.270004,130.002853,15676600
17053,129.710007,129.949997,127.099998,127.099998,126.839355,27100700
17056,125.959999,128.759995,125.75,128.690002,128.426102,21252800
17057,128.029999,128.350006,126.660004,127.209999,126.949127,18016200
17058,126.889999,128.800003,126.889999,127.769997,127.50798,15691100
17059,127.980003,129.100006,127.669998,128.350006,128.086807,15077200
17060,128.199997,129.179993,128.199997,129.070007,128.805328,24119200
17063,129.910004,129.940002,128.259995,128.649994,128.386169,14958800
17064,128.649994,129.169998,128.029999,128.639999,128.376205,11083800
17065,129.130005,130.009995,128.389999,129.940002,129.673523,14068300
17066,130.5,130.729996,129.559998,130.080002,129.813248,15538300
17067,127.559998,128.600006,127.300003,127.959999,127.697594,28326300
17070,127.370003,128.160004,126.800003,127.309998,127.04892,15064900
17071,127.610001,129.009995,127.43,128.690002,128.426102,15637100
17072,129.210007,129.470001,128.399994,129.229996,128.964981,12047600
17073,129.179993,129.289993,127.550003,128.089996,127.827316,14532200
17074,128.029999,128.589996,127.449997,128.270004,128.006958,18402900
17077,128.380005,129.089996,127.800003,128.770004,128.505936,13156900
17078,129.169998,129.279999,127.550003,128.190002,127.927124,14307500
17079,128.25,128.800003,127.830002,128.470001,128.206543,12386800
17080,128.429993,129.059998,128.080002,128.740005,128.475998,11682700
17081,129.039993,129.25,128.330002,128.990005,128.725479,12804400
17084,129.679993,130.699997,129.199997,130.240005,129.972916,15138700
17085,130.229996,130.639999,128.229996,128.880005,128.615707,17537900
17086,129.009995,129.660004,128.460007,129.050003,128.785355,11073000
17087,128.210007,128.25,126.75,127.82,127.557877,17139300
17088,128.490005,128.949997,127.580002,127.879997,127.617752,13345300
17091,128.199997,128.470001,127.32,127.540001,127.27845,11351700
17092,128.679993,129.389999,128.009995,128.570007,128.306335,13504000
17093,128.740005,130.470001,128.600006,130.110001,129.84317,16752300
17094,130.070007,130.660004,129.5,130.0,129.733398,13167500
17095,129.779999,132.130005,129.699997,132.070007,131.799164,19088800
17098,132.720001,133.410004,132.149994,133.279999,133.006668,17470200
17099,133.5,133.5,132.220001,132.289993,132.018707,13336800
17100,131.639999,132.259995,130.940002,131.039993,130.771271,13084700
17101,131.740005,131.800003,129.270004,129.690002,129.424057,16741400
17102,130.5,132.970001,129.929993,131.289993,131.020752,24545500
17105,132.009995,132.119995,130.880005,130.990005,130.721375,15669000
17106,131.410004,131.940002,128.649994,129.5,129.234436,22077800
17107,130.229996,130.229996,126.279999,127.169998,126.909203,39640900
17108,122.0,123.279999,119.5,120.0,119.753914,63766300
17109,119.589996,121.93,119.25,120.75,120.502373,30545500
17112,122.830002,123.209999,121.349998,122.150002,121.899506,23008900
